ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2024
20_500_5218_15_1,Scope 3,Waste disposal,Construction,Metals,,Open-loop,tonnes,kg CO2e,
20_500_5219_15_1,Scope 3,Waste disposal,Construction,Metals,,Closed-loop,tonnes,kg CO2e,0.98485
20_500_5220_15_1,Scope 3,Waste disposal,Construction,Metals,,Combustion,tonnes,kg CO2e,
20_500_5221_15_1,Scope 3,Waste disposal,Construction,Metals,,Composting,tonnes,kg CO2e,
20_500_5222_15_1,Scope 3,Waste disposal,Construction,Metals,,Landfill,tonnes,kg CO2e,1.26435
20_500_5223_15_1,Scope 3,Waste disposal,Construction,Metals,,Anaerobic digestion,tonnes,kg CO2e,
20_500_5224_15_1,Scope 3,Waste disposal,Construction,Soils,,Re-use,tonnes,kg CO2e,
20_500_5225_15_1,Scope 3,Waste disposal,Construction,Soils,,Open-loop,tonnes,kg CO2e,
20_500_5226_15_1,Scope 3,Waste disposal,Construction,Soils,,Closed-loop,tonnes,kg CO2e,0.98485
20_500_5227_15_1,Scope 3,Waste disposal,Construction,Soils,,Combustion,tonnes,kg CO2e,
20_500_5228_15_1,Scope 3,Waste disposal,Construction,Soils,,Composting,tonnes,kg CO2e,
20_500_5229_15_1,Scope 3,Waste disposal,Construction,Soils,,Landfill,tonnes,kg CO2e,19.51726
20_500_5230_15_1,Scope 3,Waste disposal,Construction,Soils,,Anaerobic digestion,tonnes,kg CO2e,
20_500_5231_15_1,Scope 3,Waste disposal,Construction,Mineral oil,,Re-use,tonnes,kg CO2e,
20_500_5232_15_1,Scope 3,Waste disposal,Construction,Mineral oil,,Open-loop,tonnes,kg CO2e,
20_500_5233_15_1,Scope 3,Waste disposal,Construction,Mineral oil,,Closed-loop,tonnes,kg CO2e,6.41061
20_500_5234_15_1,Scope 3,Waste disposal,Construction,Mineral oil,,Combustion,tonnes,kg CO2e,6.41061
20_500_5235_15_1,Scope 3,Waste disposal,Construction,Mineral oil,,Composting,tonnes,kg CO2e,
20_500_5236_15_1,Scope 3,Waste disposal,Construction,Mineral oil,,Landfill,tonnes,kg CO2e,
20_500_5237_15_1,Scope 3,Waste disposal,Construction,Mineral oil,,Anaerobic digestion,tonnes,kg CO2e,
20_500_5238_15_1,Scope 3,Waste disposal,Construction,Plasterboard,,Re-use,tonnes,kg CO2e,
20_500_5239_15_1,Scope 3,Waste disposal,Construction,Plasterboard,,Open-loop,tonnes,kg CO2e,
20_500_5240_15_1,Scope 3,Waste disposal,Construction,Plasterboard,,Closed-loop,tonnes,kg CO2e,6.41061
20_500_5241_15_1,Scope 3,Waste disposal,Construction,Plasterboard,,Combustion,tonnes,kg CO2e,
20_500_5242_15_1,Scope 3,Waste disposal,Construction,Plasterboard,,Composting,tonnes,kg CO2e,
20_500_5243_15_1,Scope 3,Waste disposal,Construction,Plasterboard,,Landfill,tonnes,kg CO2e,71.95000
20_500_5244_15_1,Scope 3,Waste disposal,Construction,Plasterboard,,Anaerobic digestion,tonnes,kg CO2e,
20_500_5245_15_1,Scope 3,Waste disposal,Construction,Tyres,,Re-use,tonnes,kg CO2e,
20_500_5246_15_1,Scope 3,Waste disposal,Construction,Tyres,,Open-loop,tonnes,kg CO2e,
20_500_5247_15_1,Scope 3,Waste disposal,Construction,Tyres,,Closed-loop,tonnes,kg CO2e,6.41061
20_500_5248_15_1,Scope 3,Waste disposal,Construction,Tyres,,Combustion,tonnes,kg CO2e,
