ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2024
19_500_5000_15_1,Scope 3,Material use,Construction,Aggregates,,Primary material production,tonnes,kg CO2e,7.75127
19_500_5001_15_1,Scope 3,Material use,Construction,Aggregates,,Re-used,tonnes,kg CO2e,2.21000
19_500_5002_15_1,Scope 3,Material use,Construction,Aggregates,,Open-loop source,tonnes,kg CO2e,
19_500_5003_15_1,Scope 3,Material use,Construction,Aggregates,,Closed-loop source,tonnes,kg CO2e,3.19485
19_500_5004_15_1,Scope 3,Material use,Construction,Average construction,,Primary material production,tonnes,kg CO2e,74.88652
19_500_5005_15_1,Scope 3,Material use,Construction,Average construction,,Re-used,tonnes,kg CO2e,
19_500_5006_15_1,Scope 3,Material use,Construction,Average construction,,Open-loop source,tonnes,kg CO2e,
19_500_5007_15_1,Scope 3,Material use,Construction,Average construction,,Closed-loop source,tonnes,kg CO2e,
19_500_5008_15_1,Scope 3,Material use,Construction,Asbestos,,Primary material production,tonnes,kg CO2e,27.00000
19_500_5009_15_1,Scope 3,Material use,Construction,Asbestos,,Re-used,tonnes,kg CO2e,
19_500_5010_15_1,Scope 3,Material use,Construction,Asbestos,,Open-loop source,tonnes,kg CO2e,
19_500_5011_15_1,Scope 3,Material use,Construction,Asbestos,,Closed-loop source,tonnes,kg CO2e,
19_500_5012_15_1,Scope 3,Material use,Construction,Asphalt,,Primary material production,tonnes,kg CO2e,39.21249
19_500_5013_15_1,Scope 3,Material use,Construction,Asphalt,,Re-used,tonnes,kg CO2e,1.73826
19_500_5014_15_1,Scope 3,Material use,Construction,Asphalt,,Open-loop source,tonnes,kg CO2e,
19_500_5015_15_1,Scope 3,Material use,Construction,Asphalt,,Closed-loop source,tonnes,kg CO2e,28.65485
19_500_5016_15_1,Scope 3,Material use,Construction,Bricks,,Primary material production,tonnes,kg CO2e,241.75127
19_500_5017_15_1,Scope 3,Material use,Construction,Bricks,,Re-used,tonnes,kg CO2e,
19_500_5018_15_1,Scope 3,Material use,Construction,Bricks,,Open-loop source,tonnes,kg CO2e,
19_500_5019_15_1,Scope 3,Material use,Construction,Bricks,,Closed-loop source,tonnes,kg CO2e,
19_500_5020_15_1,Scope 3,Material use,Construction,Concrete,,Primary material production,tonnes,kg CO2e,118.75127
19_500_5021_15_1,Scope 3,Material use,Construction,Concrete,,Re-used,tonnes,kg CO2e,
19_500_5022_15_1,Scope 3,Material use,Construction,Concrete,,Open-loop source,tonnes,kg CO2e,
19_500_5023_15_1,Scope 3,Material use,Construction,Concrete,,Closed-loop source,tonnes,kg CO2e,3.19485
19_500_5024_15_1,Scope 3,Material use,Construction,Insulation,,Primary material production,tonnes,kg CO2e,1861.75127
19_500_5025_15_1,Scope 3,Material use,Construction,Insulation,,Re-used,tonnes,kg CO2e,
19_500_5026_15_1,Scope 3,Material use,Construction,Insulation,,Open-loop source,tonnes,kg CO2e,
19_500_5027_15_1,Scope 3,Material use,Construction,Insulation,,Closed-loop source,tonnes,kg CO2e,1852.08114
19_500_5028_15_1,Scope 3,Material use,Construction,Metals,,Primary material production,tonnes,kg CO2e,3815.78473
19_500_5029_15_1,Scope 3,Material use,Construction,Metals,,Re-used,tonnes,kg CO2e,
19_500_5030_15_1,Scope 3,Material use,Construction,Metals,,Open-loop source,tonnes,kg CO2e,
19_500_5031_15_1,Scope 3,Material use,Construction,Metals,,Closed-loop source,tonnes,kg CO2e,1630.78661
19_500_5032_15_1,Scope 3,Material use,Construction,Soils,,Primary material production,tonnes,kg CO2e,
19_500_5033_15_1,Scope 3,Material use,Construction,Soils,,Re-used,tonnes,kg CO2e,
19_500_5034_15_1,Scope 3,Material use,Construction,Soils,,Open-loop source,tonnes,kg CO2e,
19_500_5035_15_1,Scope 3,Material use,Construction,Soils,,Closed-loop source,tonnes,kg CO2e,0.98485
19_500_5036_15_1,Scope 3,Material use,Construction,Mineral oil,,Primary material production,tonnes,kg CO2e,1401.00000
19_500_5037_15_1,Scope 3,Material use,Construction,Mineral oil,,Re-used,tonnes,kg CO2e,
19_500_5038_15_1,Scope 3,Material use,Construction,Mineral oil,,Open-loop source,tonnes,kg CO2e,
19_500_5039_15_1,Scope 3,Material use,Construction,Mineral oil,,Closed-loop source,tonnes,kg CO2e,676.00000
19_500_5040_15_1,Scope 3,Material use,Construction,Plasterboard,,Primary material production,tonnes,kg CO2e,120.05000
19_500_5041_15_1,Scope 3,Material use,Construction,Plasterboard,,Re-used,tonnes,kg CO2e,
19_500_5042_15_1,Scope 3,Material use,Construction,Plasterboard,,Open-loop source,tonnes,kg CO2e,
19_500_5043_15_1,Scope 3,Material use,Construction,Plasterboard,,Closed-loop source,tonnes,kg CO2e,32.17000
19_500_5044_15_1,Scope 3,Material use,Construction,Tyres,,Primary material production,tonnes,kg CO2e,3335.57190
19_500_5045_15_1,Scope 3,Material use,Construction,Tyres,,Re-used,tonnes,kg CO2e,731.21789
19_500_5046_15_1,Scope 3,Material use,Construction,Tyres,,Open-loop source,tonnes,kg CO2e,
19_500_5047_15_1,Scope 3,Material use,Construction,Tyres,,Closed-loop source,tonnes,kg CO2e,
19_500_5048_15_1,Scope 3,Material use,Construction,Wood,,Primary material production,tonnes,kg CO2e,269.50416
19_500_5049_15_1,Scope 3,Material use,Construction,Wood,,Re-used,tonnes,kg CO2e,38.54288
19_500_5050_15_1,Scope 3,Material use,Construction,Wood,,Open-loop source,tonnes,kg CO2e,
19_500_5051_15_1,Scope 3,Material use,Construction,Wood,,Closed-loop source,tonnes,kg CO2e,
19_501_5052_15_1,Scope 3,Material use,Other,Books,,Primary material production,tonnes,kg CO2e,
19_501_5053_15_1,Scope 3,Material use,Other,Books,,Re-used,tonnes,kg CO2e,
19_501_5054_15_1,Scope 3,Material use,Other,Books,,Open-loop source,tonnes,kg CO2e,
19_501_5055_15_1,Scope 3,Material use,Other,Books,,Closed-loop source,tonnes,kg CO2e,
19_501_5056_15_1,Scope 3,Material use,Other,Glass,,Primary material production,tonnes,kg CO2e,1402.76667
19_501_5057_15_1,Scope 3,Material use,Other,Glass,,Re-used,tonnes,kg CO2e,
19_501_5058_15_1,Scope 3,Material use,Other,Glass,,Open-loop source,tonnes,kg CO2e,
19_501_5059_15_1,Scope 3,Material use,Other,Glass,,Closed-loop source,tonnes,kg CO2e,823.18954
19_501_5060_15_1,Scope 3,Material use,Other,Clothing,,Primary material production,tonnes,kg CO2e,22310.00000
19_501_5061_15_1,Scope 3,Material use,Other,Clothing,,Re-used,tonnes,kg CO2e,152.25000
19_501_5062_15_1,Scope 3,Material use,Other,Clothing,,Open-loop source,tonnes,kg CO2e,
19_501_5063_15_1,Scope 3,Material use,Other,Clothing,,Closed-loop source,tonnes,kg CO2e,
19_501_5064_15_1,Scope 3,Material use,Other,Food and drink,,Primary material production,tonnes,kg CO2e,3701.40359
19_501_5065_15_1,Scope 3,Material use,Other,Food and drink,,Re-used,tonnes,kg CO2e,
19_501_5066_15_1,Scope 3,Material use,Other,Food and drink,,Open-loop source,tonnes,kg CO2e,
19_501_5067_15_1,Scope 3,Material use,Other,Food and drink,,Closed-loop source,tonnes,kg CO2e,
19_502_5068_15_1,Scope 3,Material use,Organic,Compost derived from garden waste,,Primary material production,tonnes,kg CO2e,112.01684
19_502_5069_15_1,Scope 3,Material use,Organic,Compost derived from garden waste,,Re-used,tonnes,kg CO2e,
19_502_5070_15_1,Scope 3,Material use,Organic,Compost derived from garden waste,,Open-loop source,tonnes,kg CO2e,
19_502_5071_15_1,Scope 3,Material use,Organic,Compost derived from garden waste,,Closed-loop source,tonnes,kg CO2e,
19_502_5072_15_1,Scope 3,Material use,Organic,Compost derived from food and garden waste,,Primary material production,tonnes,kg CO2e,114.83347
19_502_5073_15_1,Scope 3,Material use,Organic,Compost derived from food and garden waste,,Re-used,tonnes,kg CO2e,
19_502_5074_15_1,Scope 3,Material use,Organic,Compost derived from food and garden waste,,Open-loop source,tonnes,kg CO2e,
19_502_5075_15_1,Scope 3,Material use,Organic,Compost derived from food and garden waste,,Closed-loop source,tonnes,kg CO2e,
19_503_5076_15_1,Scope 3,Material use,Electrical items,Electrical items - fridges and freezers,,Primary material production,tonnes,kg CO2e,4363.33333
19_503_5077_15_1,Scope 3,Material use,Electrical items,Electrical items - fridges and freezers,,Re-used,tonnes,kg CO2e,
19_503_5078_15_1,Scope 3,Material use,Electrical items,Electrical items - fridges and freezers,,Open-loop source,tonnes,kg CO2e,
19_503_5079_15_1,Scope 3,Material use,Electrical items,Electrical items - fridges and freezers,,Closed-loop source,tonnes,kg CO2e,
19_503_5080_15_1,Scope 3,Material use,Electrical items,Electrical items - large,,Primary material production,tonnes,kg CO2e,3267.00000
19_503_5081_15_1,Scope 3,Material use,Electrical items,Electrical items - large,,Re-used,tonnes,kg CO2e,
19_503_5082_15_1,Scope 3,Material use,Electrical items,Electrical items - large,,Open-loop source,tonnes,kg CO2e,
19_503_5083_15_1,Scope 3,Material use,Electrical items,Electrical items - large,,Closed-loop source,tonnes,kg CO2e,
19_503_5084_15_1,Scope 3,Material use,Electrical items,Electrical items - IT,,Primary material production,tonnes,kg CO2e,24865.47556
19_503_5085_15_1,Scope 3,Material use,Electrical items,Electrical items - IT,,Re-used,tonnes,kg CO2e,
19_503_5086_15_1,Scope 3,Material use,Electrical items,Electrical items - IT,,Open-loop source,tonnes,kg CO2e,
19_503_5087_15_1,Scope 3,Material use,Electrical items,Electrical items - IT,,Closed-loop source,tonnes,kg CO2e,
19_503_5088_15_1,Scope 3,Material use,Electrical items,Electrical items - small,,Primary material production,tonnes,kg CO2e,5647.94563
19_503_5089_15_1,Scope 3,Material use,Electrical items,Electrical items - small,,Re-used,tonnes,kg CO2e,
19_503_5090_15_1,Scope 3,Material use,Electrical items,Electrical items - small,,Open-loop source,tonnes,kg CO2e,
19_503_5091_15_1,Scope 3,Material use,Electrical items,Electrical items - small,,Closed-loop source,tonnes,kg CO2e,
19_503_5092_15_1,Scope 3,Material use,Electrical items,Batteries - Alkaline,,Primary material production,tonnes,kg CO2e,4633.47826
19_503_5093_15_1,Scope 3,Material use,Electrical items,Batteries - Alkaline,,Re-used,tonnes,kg CO2e,
19_503_5094_15_1,Scope 3,Material use,Electrical items,Batteries - Alkaline,,Open-loop source,tonnes,kg CO2e,
19_503_5095_15_1,Scope 3,Material use,Electrical items,Batteries - Alkaline,,Closed-loop source,tonnes,kg CO2e,
19_503_5096_15_1,Scope 3,Material use,Electrical items,Batteries - Li ion,,Primary material production,tonnes,kg CO2e,6308.00000
19_503_5097_15_1,Scope 3,Material use,Electrical items,Batteries - Li ion,,Re-used,tonnes,kg CO2e,
19_503_5098_15_1,Scope 3,Material use,Electrical items,Batteries - Li ion,,Open-loop source,tonnes,kg CO2e,
19_503_5099_15_1,Scope 3,Material use,Electrical items,Batteries - Li ion,,Closed-loop source,tonnes,kg CO2e,
19_503_5100_15_1,Scope 3,Material use,Electrical items,Batteries - NiMh,,Primary material production,tonnes,kg CO2e,28380.00000
19_503_5101_15_1,Scope 3,Material use,Electrical items,Batteries - NiMh,,Re-used,tonnes,kg CO2e,
19_503_5102_15_1,Scope 3,Material use,Electrical items,Batteries - NiMh,,Open-loop source,tonnes,kg CO2e,
19_503_5103_15_1,Scope 3,Material use,Electrical items,Batteries - NiMh,,Closed-loop source,tonnes,kg CO2e,
19_504_5104_15_1,Scope 3,Material use,Metal,Metal: aluminium cans and foil (excl. forming),,Primary material production,tonnes,kg CO2e,9106.91851
19_504_5105_15_1,Scope 3,Material use,Metal,Metal: aluminium cans and foil (excl. forming),,Re-used,tonnes,kg CO2e,
19_504_5106_15_1,Scope 3,Material use,Metal,Metal: aluminium cans and foil (excl. forming),,Open-loop source,tonnes,kg CO2e,
19_504_5107_15_1,Scope 3,Material use,Metal,Metal: aluminium cans and foil (excl. forming),,Closed-loop source,tonnes,kg CO2e,990.47810
19_504_5108_15_1,Scope 3,Material use,Metal,Metal: mixed cans,,Primary material production,tonnes,kg CO2e,5105.63851
19_504_5109_15_1,Scope 3,Material use,Metal,Metal: mixed cans,,Re-used,tonnes,kg CO2e,
19_504_5110_15_1,Scope 3,Material use,Metal,Metal: mixed cans,,Open-loop source,tonnes,kg CO2e,
19_504_5111_15_1,Scope 3,Material use,Metal,Metal: mixed cans,,Closed-loop source,tonnes,kg CO2e,1461.67759
19_504_5112_15_1,Scope 3,Material use,Metal,Metal: scrap metal,,Primary material production,tonnes,kg CO2e,3464.56448
19_504_5113_15_1,Scope 3,Material use,Metal,Metal: scrap metal,,Re-used,tonnes,kg CO2e,
19_504_5114_15_1,Scope 3,Material use,Metal,Metal: scrap metal,,Open-loop source,tonnes,kg CO2e,
19_504_5115_15_1,Scope 3,Material use,Metal,Metal: scrap metal,,Closed-loop source,tonnes,kg CO2e,1620.27606
19_504_5116_15_1,Scope 3,Material use,Metal,Metal: steel cans,,Primary material production,tonnes,kg CO2e,2854.91851
19_504_5117_15_1,Scope 3,Material use,Metal,Metal: steel cans,,Re-used,tonnes,kg CO2e,
19_504_5118_15_1,Scope 3,Material use,Metal,Metal: steel cans,,Open-loop source,tonnes,kg CO2e,
19_504_5119_15_1,Scope 3,Material use,Metal,Metal: steel cans,,Closed-loop source,tonnes,kg CO2e,1726.72731
19_505_5120_15_1,Scope 3,Material use,Plastic,Plastics: average plastics,,Primary material production,tonnes,kg CO2e,3164.78049
19_505_5121_15_1,Scope 3,Material use,Plastic,Plastics: average plastics,,Re-used,tonnes,kg CO2e,
19_505_5122_15_1,Scope 3,Material use,Plastic,Plastics: average plastics,,Open-loop source,tonnes,kg CO2e,
19_505_5123_15_1,Scope 3,Material use,Plastic,Plastics: average plastics,,Closed-loop source,tonnes,kg CO2e,1566.38638
19_505_5124_15_1,Scope 3,Material use,Plastic,Plastics: average plastic film,,Primary material production,tonnes,kg CO2e,2910.46529
19_505_5125_15_1,Scope 3,Material use,Plastic,Plastics: average plastic film,,Re-used,tonnes,kg CO2e,
19_505_5126_15_1,Scope 3,Material use,Plastic,Plastics: average plastic film,,Open-loop source,tonnes,kg CO2e,
19_505_5127_15_1,Scope 3,Material use,Plastic,Plastics: average plastic film,,Closed-loop source,tonnes,kg CO2e,1094.58257
19_505_5128_15_1,Scope 3,Material use,Plastic,Plastics: average plastic rigid,,Primary material production,tonnes,kg CO2e,3345.30837
19_505_5129_15_1,Scope 3,Material use,Plastic,Plastics: average plastic rigid,,Re-used,tonnes,kg CO2e,
19_505_5130_15_1,Scope 3,Material use,Plastic,Plastics: average plastic rigid,,Open-loop source,tonnes,kg CO2e,
