ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2024
5_303_3083_9_3,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,CNG,miles,kg CO2e of CH4 per unit,
5_303_3083_9_4,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,CNG,miles,kg CO2e of N2O per unit,
5_303_3084_9_1,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,LPG,miles,kg CO2e,
5_303_3084_9_2,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,LPG,miles,kg CO2e of CO2 per unit,
5_303_3084_9_3,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,LPG,miles,kg CO2e of CH4 per unit,
5_303_3084_9_4,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,LPG,miles,kg CO2e of N2O per unit,
5_303_3085_9_1,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Unknown,miles,kg CO2e,
5_303_3085_9_2,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Unknown,miles,kg CO2e of CO2 per unit,
5_303_3085_9_3,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Unknown,miles,kg CO2e of CH4 per unit,
5_303_3085_9_4,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Unknown,miles,kg CO2e of N2O per unit,
5_303_3086_9_1,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,
5_303_3086_9_2,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,
5_303_3086_9_3,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,
5_303_3086_9_4,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,
5_303_3087_9_1,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,miles,kg CO2e,0.00000
5_303_3087_9_2,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00000
5_303_3087_9_3,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00000
5_303_3087_9_4,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.00000
5_303_3088_4_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Diesel,km,kg CO2e,0.18832
5_303_3088_4_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Diesel,km,kg CO2e of CO2 per unit,0.18667
5_303_3088_4_3,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Diesel,km,kg CO2e of CH4 per unit,0.000005
5_303_3088_4_4,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Diesel,km,kg CO2e of N2O per unit,0.00165
5_303_3089_4_1,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Petrol,km,kg CO2e,0.21709
5_303_3089_4_2,Scope 1,Delivery vehicles,Vans,Class II (1.305 to 1.74 tonnes),,Petrol,km,kg CO2e of CO2 per unit,0.21638
